package_manager,name,version,licenses,homepage,approved
Go,github.com/urfave/cli/v2,v2.6.0,MIT,"",Approved
Go,github.com/vmihailenco/msgpack/v5,v5.3.5,Simplified BSD,"",Approved
Go,github.com/vmihailenco/tagparser/v2,v2.0.0,Simplified BSD,"",Approved
Go,github.com/xanzy/ssh-agent,v0.3.1,Apache 2.0,"",Approved
Go,github.com/xeipuuv/gojsonpointer,v0.0.0-20190905194746-02993c407bfb,Apache 2.0,"",Approved
Go,github.com/xeipuuv/gojsonreference,v0.0.0-20180127040603-bd5ef7bd5415,Apache 2.0,"",Approved
Go,github.com/xeipuuv/gojsonschema,v1.2.0,Apache 2.0,"",Approved
Go,github.com/xeonx/timeago,v1.0.0-rc4,MIT,"",Approved
Go,github.com/xlab/treeprint,v1.1.0,MIT,"",Approved
Go,github.com/yuin/goldmark,v1.4.4,MIT,"",Approved
Go,github.com/yuin/goldmark-emoji,v1.0.1,MIT,"",Approved
Go,github.com/yuin/gopher-lua,v0.0.0-20210529063254-f4c35e4016d9,MIT,"",Approved
Go,go.etcd.io/bbolt,v1.3.6,MIT,"",Approved
Go,go.mongodb.org/mongo-driver,v1.8.3,Apache 2.0,"",Approved
Go,go.opencensus.io,v0.23.0,Apache 2.0,"",Approved
Go,go.opentelemetry.io/collector,v0.56.0,Apache 2.0,"",Approved
Go,go.opentelemetry.io/collector/pdata,v0.56.0,Apache 2.0,"",Approved
Go,go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc,v0.33.0,Apache 2.0,"",Approved
Go,go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp,v0.34.0,Apache 2.0,"",Approved
Go,go.opentelemetry.io/contrib/propagators/jaeger,v1.9.0,Apache 2.0,"",Approved
Go,go.opentelemetry.io/contrib/propagators/ot,v1.9.0,Apache 2.0,"",Approved
Go,go.opentelemetry.io/otel,v1.9.0,Apache 2.0,"",Approved
Go,go.opentelemetry.io/otel/bridge/opentracing,v1.9.0,Apache 2.0,"",Approved
Go,go.opentelemetry.io/otel/exporters/jaeger,v1.9.0,Apache 2.0,"",Approved
Go,go.opentelemetry.io/otel/exporters/otlp/internal/retry,v1.9.0,Apache 2.0,"",Approved
Go,go.opentelemetry.io/otel/exporters/otlp/otlptrace,v1.9.0,Apache 2.0,"",Approved
Go,go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc,v1.9.0,Apache 2.0,"",Approved
Go,go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp,v1.9.0,Apache 2.0,"",Approved
Go,go.opentelemetry.io/otel/metric,v0.31.0,Apache 2.0,"",Approved
Go,go.opentelemetry.io/otel/sdk,v1.9.0,Apache 2.0,"",Approved
Go,go.opentelemetry.io/otel/trace,v1.9.0,Apache 2.0,"",Approved
Go,go.opentelemetry.io/proto/otlp,v0.18.0,Apache 2.0,"",Approved
Go,go.uber.org/atomic,v1.10.0,MIT,"",Approved
Go,go.uber.org/automaxprocs,v1.5.1,MIT,"",Approved
Go,go.uber.org/multierr,v1.8.0,MIT,"",Approved
